t_onset,int_onset
0.0,-90.309
0.95,-43.112
2.02,-18.866
10.23,-78.268
10.36,-76.33
10.82,-70.309
10.98,-90.309
11.36,-61.682
11.53,-62.705
11.8,-62.01
11.9,-61.366
12.14,-66.227
12.27,-62.35
12.37,-49.721
13.05,-53.659
13.24,-55.823
13.54,-53.162
13.88,-57.245
14.0,-59.939
14.14,-58.945
14.51,-63.074
14.61,-50.309
14.76,-38.224
15.41,-46.502
15.58,-48.233
15.83,-49.481
15.93,-48.371
15.98,-43.865
16.28,-47.638
16.35,-37.619
16.84,-53.788
16.91,-36.399
17.43,-45.959
17.95,-45.498
18.41,-46.729
18.5,-45.498
18.85,-51.519
19.06,-51.128
19.14,-37.073
19.58,-46.119
20.07,-55.04
20.27,-49.325
20.36,-43.461
20.65,-53.162
20.81,-39.679
21.29,-39.304
21.78,-54.185
21.86,-36.941
22.69,-42.669
23.33,-53.918
23.48,-48.097
23.68,-50.052
24.09,-57.44
24.16,-38.096
24.88,-54.461
24.99,-53.788
25.23,-47.082
25.4,-45.907
25.62,-47.082
25.79,-47.325
26.03,-56.505
26.22,-53.788
26.36,-41.522
26.87,-45.06
27.27,-49.403
27.41,-50.755
27.79,-60.482
27.85,-49.803
28.45,-49.56
28.64,-49.02
29.46,-40.709
30.51,-47.386
31.35,-53.284
31.65,-55.989
31.97,-62.705
32.08,-50.846
32.19,-50.396
32.36,-46.729
33.25,-60.767
33.4,-62.01
33.65,-64.288
34.33,-78.268
34.4,-44.966
35.44,-47.638
35.67,-49.56
35.85,-44.376
36.06,-45.252
36.23,-38.355
36.56,-51.519
36.74,-47.263
36.83,-39.428
36.99,-46.281
37.07,-37.092
37.28,-42.144
37.47,-38.645
37.68,-40.883
37.87,-41.976
38.1,-41.091
38.3,-44.508
38.37,-40.767
38.5,-41.554
38.89,-40.233
39.11,-39.256
39.25,-37.68
39.42,-39.886
39.47,-30.7
39.9,-36.47
40.11,-38.138
40.3,-35.71
40.73,-38.805
40.86,-38.992
41.13,-40.125
41.22,-37.969
41.73,-44.643
41.91,-38.875
42.34,-38.852
42.83,-45.855
43.12,-48.945
43.6,-71.224
43.65,-46.065
43.87,-44.826
44.06,-46.065
44.25,-43.62
44.36,-45.448
44.48,-40.595
44.88,-45.06
45.25,-32.602
45.87,-45.301
45.98,-48.233
46.05,-34.037
46.37,-34.833
46.51,-39.087
46.66,-39.679
46.75,-42.043
46.89,-46.845
47.42,-41.001
47.71,-42.851
47.92,-50.223
48.32,-58.488
48.42,-56.867
48.5,-50.664
48.74,-63.074
48.96,-60.206
49.13,-59.679
49.23,-60.767
49.28,-56.33
49.4,-55.823
49.48,-47.511
49.67,-44.508
49.79,-43.382
50.07,-62.01
50.22,-53.407
50.38,-49.325
50.59,-52.808
50.67,-50.846
50.8,-47.702
50.86,-33.126
51.1,-38.532
51.2,-40.343
51.31,-37.619
51.49,-36.702
51.78,-39.992
51.99,-41.746
52.08,-42.597
52.38,-51.321
52.6,-40.538
53.0,-57.64
53.28,-55.989
53.39,-55.192
53.57,-48.582
53.7,-46.845
53.86,-35.889
54.2,-60.767
54.3,-63.865
54.4,-62.01
54.46,-33.482
54.97,-63.074
55.08,-51.619
55.43,-66.787
55.5,-58.053
55.61,-59.939
55.68,-31.959
55.91,-31.033
56.1,-35.856
56.51,-53.788
56.83,-41.976
57.24,-32.334
57.69,-34.775
57.88,-33.333
58.25,-28.639
58.89,-56.505
58.97,-43.66
59.06,-39.111
59.19,-39.428
59.24,-27.924
59.83,-28.632
60.25,-39.705
60.43,-28.077
60.75,-41.151
60.85,-45.155
