Time, Value
67.76514107247925,5
83.6075421525879,4
93.35161811062622,3
98.40381608392335,4
103.7884310743866,3
106.82028890081787,5
114.47445601716613,4
115.64294520790101,2
118.37425906103516,5
125.31623502479553,3
130.14335494850158,2
134.22366296566773,4
140.23312617356873,2
142.89285302098082,3
150.87016009155275,4
156.76121316593932,2
165.47224398664855,3
175.40085695994568,4
188.64450708392334,2
191.59239703814697,3
194.8791899885559,4
208.68746295231628,2
215.82780510871888,3
218.53745283596803,4
223.4280619408722,3
224.9514981296997,2
229.76087883406066,1
233.749933874115,2
239.33221405722045,3
244.69414882833863,4
254.01099102098084,2
265.6606539809265,3
273.32882205722046,4
280.25258697901916,2
287.94065899427795,4
302.79856301335144,2
316.99356398855593,1
332.22347998664856,3
334.58110302670286,1
342.51463202098086,2
346.76998504196166,3
366.6197221335144,4
