Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 56721 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
0.000000e+000,6.283438e-001,3.593853e+000,1.485783e+001,-1.154917e-002
1.928571e-003,6.283438e-001,3.593853e+000,1.486093e+001,-1.154917e-002
3.857143e-003,6.267944e-001,3.592303e+000,1.486093e+001,-9.999795e-003
5.785714e-003,6.283438e-001,3.592303e+000,1.485938e+001,-1.154917e-002
7.714286e-003,6.267944e-001,3.592303e+000,1.485938e+001,-1.154917e-002
9.642857e-003,6.283438e-001,3.590754e+000,1.485938e+001,-1.154917e-002
1.157143e-002,6.267944e-001,3.590754e+000,1.485628e+001,-9.999795e-003
1.350000e-002,6.283438e-001,3.592303e+000,1.485783e+001,-1.154917e-002
1.542857e-002,6.252450e-001,3.590754e+000,1.485783e+001,-1.154917e-002
1.735714e-002,6.283438e-001,3.592303e+000,1.485628e+001,-9.999795e-003
1.928571e-002,6.283438e-001,3.592303e+000,1.485628e+001,-1.154917e-002
2.121429e-002,6.283438e-001,3.590754e+000,1.485783e+001,-9.999795e-003
2.314286e-002,6.267944e-001,3.589205e+000,1.485628e+001,-9.999795e-003
2.507143e-002,6.283438e-001,3.590754e+000,1.485318e+001,-1.309855e-002
2.700000e-002,6.267944e-001,3.589205e+000,1.485473e+001,-1.154917e-002
2.892857e-002,6.267944e-001,3.590754e+000,1.485783e+001,-9.999795e-003
3.085714e-002,6.283438e-001,3.589205e+000,1.485938e+001,-1.154917e-002
3.278571e-002,6.267944e-001,3.589205e+000,1.485783e+001,-9.999795e-003
3.471429e-002,6.298932e-001,3.590754e+000,1.485783e+001,-1.309855e-002
3.664286e-002,6.298932e-001,3.590754e+000,1.486093e+001,-9.999795e-003
