Label: FSR adapter 16: FSR.A 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.B 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.C 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Label: FSR adapter 16: FSR.D 16 Sampling frequency: 5.185185e+002 Number of points: 25900 X start: 0.000000e+000 Unit: % Domain Unit: s
Start Trigger Method: Trigno Wireless System (start trigger)
Stop Trigger Method: Trigno Wireless System (stop trigger)
Use Camera: NO
Video File Path: 
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
System Gain: 3.250000e-002
A/D card Gain: 1.000000e+000
Bit Resolution: -1.000000e+000
Bias: 0.000000e+000
High pass cutoff frequency: 0.000000e+000
Low pass cutoff frequency: 0.000000e+000
X [s],FSR adapter 16: FSR.A 16 [%],FSR adapter 16: FSR.B 16 [%],FSR adapter 16: FSR.C 16 [%],FSR adapter 16: FSR.D 16 [%]
0.000000e+000,2.921289e-001,4.057117e+000,2.102280e+001,-9.999795e-003
1.928571e-003,2.766351e-001,4.032327e+000,2.102280e+001,-9.999795e-003
3.857143e-003,2.518450e-001,4.013734e+000,2.102125e+001,-9.999795e-003
5.785714e-003,2.348019e-001,3.993592e+000,2.101815e+001,-9.999795e-003
7.714286e-003,2.224068e-001,3.968802e+000,2.101505e+001,-1.154917e-002
9.642857e-003,2.162093e-001,3.950210e+000,2.101351e+001,-1.309855e-002
1.157143e-002,2.115612e-001,3.925420e+000,2.100886e+001,-1.154917e-002
1.350000e-002,2.084625e-001,3.894432e+000,2.100886e+001,-1.154917e-002
1.542857e-002,1.991662e-001,3.864994e+000,2.100886e+001,-1.154917e-002
1.735714e-002,1.929687e-001,3.834006e+000,2.100731e+001,-1.154917e-002
1.928571e-002,1.852218e-001,3.807667e+000,2.100576e+001,-1.309855e-002
2.121429e-002,1.805737e-001,3.784426e+000,2.100421e+001,-1.154917e-002
2.314286e-002,1.728268e-001,3.767383e+000,2.099956e+001,-1.154917e-002
2.507143e-002,1.712774e-001,3.751889e+000,2.099646e+001,-1.154917e-002
2.700000e-002,1.666293e-001,3.741044e+000,2.099491e+001,-1.154917e-002
2.892857e-002,1.666293e-001,3.727099e+000,2.099801e+001,-1.154917e-002
3.085714e-002,1.635305e-001,3.711605e+000,2.099646e+001,-9.999795e-003
3.278571e-002,1.588824e-001,3.696112e+000,2.099336e+001,-1.154917e-002
3.471429e-002,1.511355e-001,3.682167e+000,2.099181e+001,-9.999795e-003
3.664286e-002,1.464874e-001,3.671322e+000,2.098872e+001,-1.154917e-002
3.857143e-002,1.418392e-001,3.662025e+000,2.099026e+001,-9.999795e-003
4.050000e-002,1.433886e-001,3.652729e+000,2.099181e+001,-8.450417e-003
4.242857e-002,1.449380e-001,3.643433e+000,2.099491e+001,-1.154917e-002
4.435714e-002,1.433886e-001,3.632587e+000,2.099801e+001,-9.999795e-003
4.628571e-002,1.340923e-001,3.613995e+000,2.099801e+001,-1.309855e-002
4.821429e-002,1.263454e-001,3.596951e+000,2.100266e+001,-1.154917e-002
5.014286e-002,1.216973e-001,3.581458e+000,2.100266e+001,-9.999795e-003
5.207143e-002,1.170492e-001,3.565964e+000,2.100266e+001,-1.154917e-002
5.400000e-002,1.124010e-001,3.548921e+000,2.099956e+001,-9.999795e-003
5.592857e-002,1.124010e-001,3.533427e+000,2.100266e+001,-9.999795e-003
5.785714e-002,1.093023e-001,3.517933e+000,2.100111e+001,-1.309855e-002
5.978571e-002,1.031048e-001,3.500890e+000,2.099646e+001,-9.999795e-003
6.171429e-002,9.380851e-002,3.486946e+000,2.099026e+001,-9.999795e-003
6.364286e-002,8.916038e-002,3.476100e+000,2.097942e+001,-1.309855e-002
6.557143e-002,8.451224e-002,3.463705e+000,2.096548e+001,-9.999795e-003
6.750000e-002,7.986411e-002,3.449760e+000,2.095463e+001,-1.154917e-002
6.942857e-002,7.366660e-002,3.432717e+000,2.093759e+001,-1.154917e-002
7.135714e-002,6.746909e-002,3.417224e+000,2.092829e+001,-9.999795e-003
7.328571e-002,6.127158e-002,3.401730e+000,2.091899e+001,-1.154917e-002
7.521429e-002,5.197531e-002,3.389335e+000,2.091434e+001,-9.999795e-003
7.714286e-002,5.042594e-002,3.378489e+000,2.090660e+001,-1.309855e-002
7.907143e-002,4.112967e-002,3.375390e+000,2.090660e+001,-9.999795e-003
8.100000e-002,3.028402e-002,3.370742e+000,2.090660e+001,-1.154917e-002
8.292857e-002,1.943838e-002,3.361446e+000,2.090505e+001,-1.154917e-002
8.485714e-002,1.014211e-002,3.352150e+000,2.090040e+001,-1.154917e-002
8.678571e-002,3.944604e-003,3.341304e+000,2.089885e+001,-9.999795e-003
8.871429e-002,2.395226e-003,3.328909e+000,2.089730e+001,-9.999795e-003
9.064286e-002,-7.035290e-004,3.314965e+000,2.089420e+001,-1.309855e-002
9.257143e-002,-7.035290e-004,3.299471e+000,2.089265e+001,-1.154917e-002
9.450000e-002,-2.252907e-003,3.287076e+000,2.088646e+001,-1.154917e-002
9.642857e-002,-2.252907e-003,3.271582e+000,2.087871e+001,-1.154917e-002
9.835714e-002,8.458487e-004,3.252990e+000,2.087096e+001,-9.999795e-003
1.002857e-001,7.043359e-003,3.239045e+000,2.086477e+001,-1.154917e-002
1.022143e-001,1.324087e-002,3.228199e+000,2.085702e+001,-1.154917e-002
1.041429e-001,1.324087e-002,3.222002e+000,2.085237e+001,-9.999795e-003
1.060714e-001,7.043359e-003,3.220453e+000,2.084927e+001,-1.154917e-002
1.080000e-001,2.395226e-003,3.214255e+000,2.084152e+001,-9.999795e-003
1.099286e-001,-7.035290e-004,3.204959e+000,2.083533e+001,-1.154917e-002
1.118571e-001,-5.351662e-003,3.192564e+000,2.082913e+001,-1.154917e-002
1.137857e-001,-5.351662e-003,3.183268e+000,2.082293e+001,-1.154917e-002
1.157143e-001,-5.351662e-003,3.169323e+000,2.081983e+001,-9.999795e-003
1.176429e-001,-5.351662e-003,3.150731e+000,2.081209e+001,-1.154917e-002
