Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
Buleria - IMP1,All,7.00,0.92,5.00,1.25,4.00,0.75,1.50,-0.67,2.25,-0.17,5.00,-0.40,1.00,-1.09,4.00,0.38,1.00,-0.89
Buleria - IMP1,All,7.00,0.92,4.00,0.47,4.00,0.75,3.50,1.38,3.00,0.56,5.67,0.22,1.00,-1.09,4.00,0.38,2.00,-0.30
Seguirya - IMP1,All,6.00,0.21,2.00,-1.09,4.00,0.75,3.50,1.38,4.88,2.38,5.00,-0.40,3.00,0.47,5.00,1.02,4.00,0.89
Solea - IMP1,All,7.00,0.92,4.00,0.47,3.00,-0.50,2.00,-0.15,3.12,0.68,5.67,0.22,5.00,2.03,4.00,0.38,5.00,1.48
Guajira - IMP1,All,7.00,0.92,4.00,0.47,2.00,-1.75,1.00,-1.18,1.38,-1.02,3.00,-2.26,3.00,0.47,6.00,1.66,5.00,1.48
Buleria - IMP2,All,4.00,-1.20,5.00,1.25,4.00,0.75,1.00,-1.18,1.75,-0.66,7.00,1.46,3.00,0.47,1.00,-1.54,1.00,-0.89
Seguirya - IMP2,All,4.00,-1.20,1.00,-1.87,3.00,-0.50,3.00,0.87,2.38,-0.05,5.00,-0.40,1.00,-1.09,3.00,-0.26,1.00,-0.89
Solea - IMP1_2,All,7.00,0.92,4.00,0.47,4.00,0.75,3.00,0.87,2.62,0.19,6.33,0.84,3.00,0.47,4.00,0.38,4.00,0.89
Solea - IMP2,All,4.00,-1.20,3.00,-0.31,4.00,0.75,2.00,-0.15,1.75,-0.66,6.67,1.15,1.00,-1.09,1.00,-1.54,1.00,-0.89
Guajira - IMP2,All,4.00,-1.20,2.00,-1.09,2.00,-1.75,1.00,-1.18,1.12,-1.26,5.00,-0.40,3.00,0.47,2.00,-0.90,1.00,-0.89
mean,All,5.70,-0.00,3.40,0.00,3.40,0.00,2.15,0.00,2.42,0.00,5.43,-0.00,2.40,0.00,3.40,0.00,2.50,-0.00
std,All,1.35,0.95,1.22,0.95,0.76,0.95,0.93,0.95,0.98,0.95,1.03,0.95,1.22,0.95,1.49,0.95,1.61,0.95
