Name,Title,Impro,Impro_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating,Elevating_stnd,Carefree,Carefree_stnd,Expression,Expression_stnd,Technique,Technique_stnd,Harmony,Harmony_stnd
mean,All,5.70,-0.00,3.40,0.00,3.40,0.00,2.15,0.00,2.42,0.00,5.43,-0.00,2.40,0.00,3.40,0.00,2.50,-0.00
std,All,1.35,0.95,1.22,0.95,0.76,0.95,0.93,0.95,0.98,0.95,1.03,0.95,1.22,0.95,1.49,0.95,1.61,0.95
mean,Day1,6.80,0.00,3.80,0.00,3.40,0.00,2.30,0.00,2.92,0.00,4.87,-0.00,2.60,-0.00,4.60,0.00,3.40,0.00
std,Day1,0.37,0.91,0.89,0.91,0.73,0.91,0.94,0.91,1.06,0.91,0.89,0.91,1.37,0.91,0.73,0.91,1.48,0.91
mean,Day2,4.60,0.00,3.00,0.00,3.40,0.00,2.00,0.00,1.93,-0.00,6.00,0.00,2.20,-0.00,2.20,-0.00,1.60,-0.00
std,Day2,1.10,0.91,1.29,0.91,0.73,0.91,0.82,0.91,0.48,0.91,0.77,0.91,0.89,0.91,1.06,0.91,1.10,0.91
mean,Buleria,6.00,0.00,4.67,-0.00,4.00,0.00,2.00,0.00,2.33,-0.00,5.89,-0.00,1.67,-0.00,3.00,0.00,1.33,0.00
std,Buleria,1.22,0.87,0.41,0.87,0.00,0.00,0.94,0.87,0.44,0.87,0.72,0.87,0.82,0.87,1.22,0.87,0.41,0.87
mean,Solea,6.00,0.00,3.67,0.00,3.67,0.00,2.33,-0.00,2.50,-0.00,6.22,-0.00,3.00,0.00,3.00,0.00,3.33,-0.00
std,Solea,1.22,0.87,0.41,0.87,0.41,0.87,0.41,0.87,0.49,0.87,0.36,0.87,1.41,0.87,1.22,0.87,1.47,0.87
mean,Guajira,5.50,0.00,3.00,0.00,2.00,0.00,1.00,0.00,1.25,0.00,4.00,0.00,3.00,0.00,4.00,0.00,3.00,0.00
std,Guajira,1.22,0.82,0.82,0.82,0.00,0.00,0.00,0.00,0.10,0.82,0.82,0.82,0.00,0.00,1.63,0.82,1.63,0.82
mean,Seguirya,5.00,0.00,1.50,0.00,3.50,0.00,3.25,0.00,3.62,0.00,5.00,0.00,2.00,0.00,4.00,0.00,2.50,0.00
std,Seguirya,0.82,0.82,0.41,0.82,0.41,0.82,0.20,0.82,1.02,0.82,0.00,0.00,0.82,0.82,0.82,0.82,1.22,0.82
mean,IMP1,6.83,0.00,3.83,-0.00,3.50,0.00,2.42,0.00,2.88,0.00,5.11,-0.00,2.67,0.00,4.50,0.00,3.50,-0.00
std,IMP1,0.35,0.93,0.83,0.93,0.71,0.93,0.90,0.93,0.98,0.93,0.97,0.93,1.27,0.93,0.71,0.93,1.39,0.93
mean,IMP2,4.00,0.00,2.75,0.00,3.25,0.00,1.75,-0.00,1.75,0.00,5.92,-0.00,2.00,0.00,1.75,-0.00,1.00,0.00
std,IMP2,0.00,0.00,1.32,0.89,0.74,0.89,0.74,0.89,0.40,0.89,0.83,0.89,0.89,0.89,0.74,0.89,0.00,0.00
