name,P,A,T,P_stnd,A_stnd,T_stnd,Move,Move_stnd,Pleasure,Pleasure_stnd,Meaning,Meaning_stnd,Elevating
Buleria - IMP1,7.00,8.00,2.00,0.74,1.27,0.82,5.00,1.34,4.00,0.85,1.25,-0.57,2.50
Buleria - IMP1,7.00,7.00,-3.00,0.74,0.90,-0.63,4.00,0.53,4.00,0.85,1.58,1.54,3.00
Seguirya - IMP1,7.00,8.00,5.00,0.74,1.27,1.69,2.00,-1.07,4.00,0.85,1.58,1.54,4.25
Seguirya - COM1,-6.00,-2.00,5.00,-2.67,-2.45,1.69,2.00,-1.07,1.00,-2.20,1.17,-1.10,1.67
Solea - IMP1,7.00,5.00,-4.00,0.74,0.15,-0.92,4.00,0.53,3.00,-0.17,1.33,-0.04,3.08
Guajira - IMP1,0.00,4.00,1.00,-1.10,-0.22,0.53,4.00,0.53,2.00,-1.18,1.17,-1.10,1.92
Buleria - IMP2,6.00,4.00,-4.00,0.48,-0.22,-0.92,5.00,1.34,4.00,0.85,1.17,-1.10,2.17
Buleria - BAI1,6.00,7.00,-5.00,0.48,0.90,-1.20,4.00,0.53,3.00,-0.17,1.33,-0.04,2.17
Seguirya - IMP2,4.00,4.00,1.00,-0.04,-0.22,0.53,1.00,-1.87,3.00,-0.17,1.50,1.01,2.58
Solea - IMP1_2,5.00,2.00,-5.00,0.22,-0.96,-1.20,4.00,0.53,4.00,0.85,1.50,1.01,2.75
Solea - IMP2,6.00,4.00,-2.00,0.48,-0.22,-0.34,3.00,-0.27,4.00,0.85,1.33,-0.04,2.17
Guajira - IMP2,1.00,4.00,-1.00,-0.83,-0.22,-0.05,2.00,-1.07,2.00,-1.18,1.17,-1.10,1.75
mean,4.17,4.58,-0.83,-0.00,0.00,0.00,3.33,-0.00,3.17,0.00,1.34,0.00,2.50
std,3.65,2.59,3.32,0.96,0.96,0.96,1.20,0.96,0.95,0.96,0.15,0.96,0.66
