Time, Value
14.759908979019166,5
26.426050963760375,6
29.502392051498415,7
34.44504399237061,4
40.5453299256134,3
45.29047203623962,7
50.57056613923645,3
56.08804408583069,5
63.11436919836426,4
67.04838216021729,2
74.55948702098084,3
83.99145303051758,4
96.97046190844726,3
105.70911216212464,4
111.35372597329712,3
120.90357910681152,4
124.86364609155274,5
129.09536608773803,3
136.98206387792968,7
140.25619002288818,5
148.48949687220764,5
149.4783579332428,6
159.08833295803834,5
161.58668309155274,6
169.4812199961853,3
174.63800916212463,6
184.8586041449585,7
190.06644997138977,4
193.43450387602235,3
196.7286969408722,2
201.36815801144408,1
209.09795183978272,2
217.71310286457825,1
219.60017712397766,3
229.900797792099,4
243.98715104005433,5
249.78571700953674,6
