Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Abs_Av,Perf_Av,SFS,Dance_mode,Music_mode,Palo
P3_D0_G1_M6_R1_T1,G1,2,7,2,7,7,7,7,7,7,7,7,1,7,7,4.25,7.0,5.625,D0,M6,R1
P4_D0_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,4,6,7,7,6,6,6,5.0,6.666666666666667,5.833333333333334,D0,M6,R1
P3_D6_G1_M6_R1_T1,P3,2,2,4,5,6,4,6,5,6,6,6,6,6,5,5.25,5.5,5.375,D6,M6,R1
P3_D6_G1_M6_R1_T1,G1,2,7,4,6,7,6,6,7,7,7,6,1,7,7,4.75,6.333333333333333,5.541666666666666,D6,M6,R1
P4_D6_G2_M6_R1_T1,P4,2,1,1,7,1,1,7,1,7,7,7,1,2,2,1.0,6.0,3.5,D6,M6,R1
P4_D6_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,6,7,7,7,5,6,7,5.25,6.833333333333333,6.041666666666666,D6,M6,R1
P3_D5_G1_M6_R1_T1,P3,4,2,4,2,4,3,4,5,4,2,4,6,3,4,4.75,3.1666666666666665,3.958333333333333,D5,M6,R1
P3_D5_G1_M6_R1_T1,G1,2,7,4,6,7,6,5,5,7,7,7,5,6,6,5.25,6.333333333333333,5.791666666666666,D5,M6,R1
P4_D5_G2_M6_R1_T1,P4,5,3,4,5,1,2,2,5,4,5,4,4,3,4,3.5,3.6666666666666665,3.583333333333333,D5,M6,R1
P4_D5_G2_M6_R1_T1,G2,2,4,5,6,6,7,7,6,6,7,7,6,6,7,5.75,6.666666666666667,6.208333333333334,D5,M6,R1
P3_D1_G1_M6_R1_T1,P3,7,4,6,6,7,5,6,6,5,3,6,6,7,5,6.25,5.166666666666667,5.708333333333334,D1,M6,R1
P3_D1_G1_M6_R1_T1,G1,3,7,4,7,7,7,7,7,7,7,7,1,7,7,4.75,7.0,5.875,D1,M6,R1
P4_D1_G2_M6_R1_T1,P4,7,2,6,4,6,4,4,4,4,3,2,4,2,2,5.0,3.5,4.25,D1,M6,R1
