segment_ID,body_side,Description,joint_prox,joint_dist,mass,rproxd,kproxd,rogcg,length
1,Right,Hand,15,19,0.005,0.5,0.54,0.2039607805,0.0575
2,Right,Forearm,13,15,0.0157,0.43,0.53,0.3098386677,0.16
3,Right,Upper Arm,11,13,0.029,0.46,0.56,0.3193743885,0.173
4,Right,Forearm and hand,11,15,0.0207,0.66,0.83,0.5032891813,0.2175
5,Right,Foot,27,31,0.0133,0.5,0.69,0.4754997371,0.0425
6,Right,"Leg, Shank",25,27,0.0535,0.42,0.51,0.2893095228,0.25
7,Right,Thigh,23,25,0.1175,0.43,0.54,0.3266496594,0.249
8,Right,Leg + Foot,25,27,0.0668,0.6,0.73,0.4158124577,0.2925
9,Center,Head + Neck,34,33,0.082,0.55,0.61,0.2638181192,0.1075
10,Center,Thorax,11,12,0.1702,0.5,0.64,0.3994996871,0.127
11,Center,Abdomen ,11,12,0.1224,0.38,0.43,0.201246118,0.081
12,Center,Pelvis,23,24,0.1596,0.5,0.61,0.3494281042,0.093
13,Center,Trunk (hip to shoulder),35,33,0.532,0.55,0.75,0.5099019514,0.29
14,Left,Hand,16,20,0.005,0.5,0.54,0.2039607805,0.0575
15,Left,Forearm,14,16,0.0157,0.43,0.53,0.3098386677,0.16
16,Left,Upper Arm,12,14,0.029,0.46,0.56,0.3193743885,0.173
17,Left,Forearm and hand,14,16,0.0207,0.66,0.83,0.5032891813,0.2175
18,Left,Foot,28,32,0.0133,0.5,0.69,0.4754997371,0.0425
19,Left,"Leg, Shank",26,28,0.0535,0.42,0.51,0.2893095228,0.25
20,Left,Thigh,24,26,0.1175,0.43,0.54,0.3266496594,0.249
21,Left,Leg + Foot,26,28,0.0668,0.6,0.73,0.4158124577,0.2925
